A,A,B,A,B,B,B,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,B,A,B,A
Set B,Set B,Set A,Set B,Set B,Set B,Set B,Set A,Set A,Set B,Set B,Set B,Set B,Set B,Set A,Set B,Set A,Set B,Set B,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set B,Set B,Set B,Set B
Set A,Set B,Set A,Set B,Set A,Set A,Set B,Set B,Set B,Set B,Set B,Set A,Set A,Set B,Set A,Set B,Set A,Set B,Set A,Set A,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set A
Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set A,Set A,Set B,Set B,Set A,Set B,Set B,Set B,Set B,Set A,Set B,Set B,Set A,Set A,Set A
Set B,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set A,Set B,Set B,Set B,Set B,Set A,Set B,Set A,Set B,Set B,Set B,Set A,Set A,Set B,Set A,Set B,Set A,Set A,Set A,Set A,Set B
Set A,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set B,Set B,Set A,Set B,Set A,Set A,Set B,Set A,Set B,Set A,Set B,Set B,Set A,Set A,Set B,Set B,Set A,Set B,Set B,Set A,Set B
Set A,Set B,Set B,Set A,Set A,Set A,Set A,Set B,Set A,Set B,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set B,Set A,Set B,Set B,Set A,Set A,Set B,Set B,Set A,Set B,Set A,Set B,Set A
Set A,Set B,Set A,Set A,Set A,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set B,Set B,Set A,Set A,Set B,Set B,Set B,Set B,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set B,Set B
Set A,Set B,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set B,Set B,Set A,Set B,Set A,Set B,Set A,Set B,Set B,Set B,Set B,Set A,Set A,Set B,Set A,Set A,Set B,Set A,Set B,Set A
Set B,Set B,Set A,Set B,Set A,Set B,Set A,Set A,Set A,Set B,Set A,Set B,Set B,Set B,Set A,Set A,Set A,Set B,Set B,Set B,Set B,Set A,Set A,Set A,Set B,Set A,Set A,Set A,Set B,Set B
Set B,Set B,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set B,Set B,Set A,Set B,Set A,Set A,Set B,Set A,Set B,Set A,Set B,Set B
Set A,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set B,Set A,Set B,Set B,Set B,Set B,Set A,Set B,Set B,Set A,Set B,Set B,Set A,Set A,Set A,Set B,Set A,Set B,Set A,Set A,Set B
Set B,Set B,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set B,Set A,Set B,Set A,Set B,Set B,Set B,Set A,Set B,Set A,Set B,Set B
Set A,Set B,Set A,Set A,Set A,Set A,Set A,Set A,Set A,Set B,Set A,Set A,Set A,Set A,Set A,Set B,Set A,Set B,Set B,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set B,Set A,Set B,Set B
Set B,Set B,Set B,Set B,Set A,Set A,Set A,Set A,Set A,Set B,Set B,Set B,Set B,Set B,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set A,Set A,Set B,Set B,Set A,Set A,Set A,Set B,Set B
